Ajdovščina;45.905704866551055, 13.925605959643887
Ankaran/Ancarano;45.57664253458674, 13.744380427655809
Apače;46.69408369494793, 15.880804736874353
Beltinci;46.60938539699733, 16.23422556454959
Benedikt;46.61390248527818, 15.889066751287976
Bistrica ob Sotli;46.05572639812164, 15.669318267853567
Bled;46.34393171836531, 14.076758582966534
Bloke;45.78030296664276, 14.51403721556089
Bohinj;46.29104932838318, 13.912368036910838
Borovnica;45.91146909159588, 14.380784398342804
Bovec;46.36007531892354, 13.627145448575272
Braslovče;46.27757217450204, 15.029292137994311
Brda;46.00778945547983, 13.545930775490518
Brezovica;45.93945166887089, 14.431907390352482
Brežice;45.91783137402811, 15.6135928385154
Cankova;46.73057429717691, 16.030227760596485
Celje;46.24288845459566, 15.273743239736103
Cerklje na Gorenjskem;46.25574064742961, 14.50173566823556
Cerknica;45.79692527015013, 14.366162339222683
Cerkno;46.12269039647426, 13.974444497381707
Cerkvenjak;46.565666981401414, 15.946842393441806
Cirkulane;46.34199873893519, 15.997522126636452
Destrnik;46.479963742772995, 15.879367707543379
Divača;45.68109196844849, 14.019999806593496
Dobje;46.13322666117601, 15.398887884203017
Dobrepolje;45.82193115098357, 14.736931042150205
Dobrna;46.339080083474116, 15.22298183915655
Dobrova - Polhov Gradec;46.0623935294288, 14.317881714187383
Dobrovnik/Dobronak;46.65280847573918, 16.34939896725619
Dol pri Ljubljani;46.095109132660276, 14.679179479158515
Dolenjske Toplice;45.725064954439304, 15.042300188240532
Domžale;46.144187318317314, 14.627866160747924
Dornava;46.44650310021398, 15.997729700021518
Dravograd;46.59347646019561, 15.037419784650037
Duplek;46.51035931680236, 15.768133710979802
Gorenja vas - Poljane;46.10199288587432, 14.137684427904968
Gorišnica;46.40598373893499, 16.013603282127256
Gorje;46.38870329089371, 14.001208552819296
Gornja Radgona;46.64047799515272, 15.967690531026355
Gornji Grad;46.290933496805415, 14.79753343970571
Gornji Petrovci;46.81066928314342, 16.22226698766514
Grad;46.795197506134954, 16.0998248988759
Grosuplje;45.93249583635775, 14.669522847693818
Hajdina;46.417034939330456, 15.833854595412618
Hodoš/Hodos;46.824923790897245, 16.321701466094677
Horjul;46.021042838155225, 14.290099235542478
Hoče - Slivnica;46.489216080414565, 15.647898775603574
Hrastnik;46.13105037318014, 15.11945612541985
Hrpelje - Kozina;45.57951333048894, 14.015107442068121
Idrija;45.98225513109562, 14.024546378374112
Ig;45.93189599903765, 14.527418798904742
Ilirska Bistrica;45.57374686956809, 14.282180011445524
