OBČINE;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Ajdovščina;18600;18822;18850;18938;19016;19024;18892;19007;19061;19174;19154;19364;19671;19741;19693
Ankaran/Ancarano;-;-;-;-;-;-;-;3237;3227;3205;3216;3215;3253;3249;3288
Apače;3631;3618;3624;3620;3605;3619;3605;3580;3564;3558;3510;3532;3541;3556;3551
Beltinci;8346;8382;8349;8323;8352;8343;8329;8267;8258;8257;8159;8098;8044;8110;8116
Benedikt;2345;2354;2388;2441;2432;2469;2464;2460;2506;2505;2559;2584;2611;2661;2703
Bistrica ob Sotli;1429;1414;1425;1431;1410;1408;1382;1374;1368;1351;1350;1333;1341;1370;1366
Bled;8118;8129;8113;8141;8191;8203;8145;8088;7998;7914;7835;7846;7983;8239;8168
Bloke;1601;1563;1572;1580;1590;1582;1559;1518;1541;1529;1529;1567;1603;1590;1587
Bohinj;5214;5263;5260;5223;5202;5197;5176;5152;5127;5138;5103;5118;5360;5771;5511
Borovnica;3900;3941;3982;3995;3992;4065;4211;4277;4295;4408;4421;4547;4625;4636;4619
Bovec;3185;3205;3249;3213;3200;3181;3140;3130;3098;3066;3052;3074;3193;3204;3107
Braslovče;5190;5190;5270;5352;5417;5429;5438;5470;5528;5567;5528;5584;5640;5669;5725
Brda;5662;5686;5757;5747;5763;5751;5705;5659;5664;5624;5613;5632;5613;5641;5622
Brezovica;10431;10716;10985;11246;11531;11693;11827;11920;12017;12126;12323;12527;12771;12818;12785
Brežice;24253;24328;24302;24354;24301;24311;24230;24225;24216;24143;24089;24157;24250;24346;24286
Cankova;1936;1907;1897;1899;1896;1881;1845;1831;1792;1784;1748;1724;1746;1759;1755
Celje;48569;48993;48776;48556;48682;48773;48883;48901;49221;49376;49538;49602;49069;48847;48777
Cerklje na Gorenjskem;6803;6925;7084;7122;7229;7317;7356;7406;7532;7585;7608;7712;7796;7875;7882
Cerknica;11006;11127;11192;11310;11350;11316;11348;11419;11469;11519;11502;11625;11668;11681;11683
Cerkno;4819;4776;4788;4784;4799;4792;4702;4669;4620;4592;4584;4577;4588;4542;4539
Cerkvenjak;2060;2037;2051;2005;2030;2000;2032;2053;2043;2069;2048;2080;2170;2135;2213
Cirkulane;2278;2296;2293;2294;2298;2303;2336;2312;2301;2331;2348;2362;2374;2377;2340
Črenšovci;4213;4166;4174;4148;4109;4022;4030;3989;3980;3953;3958;3958;3995;3984;3950
Črna na Koroškem;3690;3643;3586;3541;3502;3461;3378;3342;3324;3319;3301;3281;3271;3219;3201
Črnomelj;14715;14694;14728;14750;14689;14659;14586;14523;14400;14310;14293;14307;14318;14337;14207
Destrnik;2671;2691;2638;2647;2600;2615;2580;2561;2548;2538;2583;2617;2640;2650;2635
Divača;3840;3857;3900;3889;3907;3944;3955;3931;3989;4067;4093;4195;4255;4324;4405
Dobje;959;954;967;973;971;971;980;980;987;966;962;965;942;948;950
Dobrepolje;3763;3828;3882;3927;3958;3942;3934;3915;3897;3891;3847;3838;3894;3883;3891
Dobrna;2160;2164;2207;2187;2187;2194;2195;2188;2230;2219;2221;2240;2241;2266;2307
Dobrova - Polhov Gradec;7123;7266;7310;7402;7465;7540;7535;7605;7600;7661;7623;7752;7830;7818;7857
Dobrovnik/Dobronak;1361;1334;1321;1344;1338;1287;1285;1273;1266;1282;1290;1287;1273;1287;1272
Dol pri Ljubljani;5170;5289;5399;5516;5616;5735;5823;5906;5955;5982;6131;6295;6315;6333;6357
Dolenjske Toplice;3412;3409;3410;3396;3395;3389;3398;3385;3412;3435;3471;3525;3570;3570;3581
Domžale;32775;33447;33750;34195;34346;34634;34949;35159;35458;35659;35917;36429;36648;36792;37179
Dornava;2942;2945;2931;2953;2942;2916;2898;2911;2894;2896;2897;2894;2910;2862;2906
Dravograd;9029;9097;9069;9046;9056;8934;8888;8879;8932;8857;8787;8849;8891;8849;8852
Duplek;6502;6580;6651;6704;6716;6757;6788;6755;6777;6822;6889;6955;6978;7017;7003
Gorenja vas - Poljane;7115;7176;7265;7279;7302;7320;7361;7439;7481;7527;7532;7560;7631;7666;7627
Gorišnica;3895;3991;4025;4032;4043;4036;3969;3972;3982;3993;4054;4097;4152;4195;4197
Gorje;2874;2891;2923;2911;2869;2866;2840;2795;2828;2807;2776;2751;2759;2800;2765
Gornja Radgona;8665;8620;8571;8632;8617;8499;8522;8473;8471;8427;8401;8401;8439;8466;8465
Gornji Grad;2634;2654;2671;2658;2664;2620;2605;2548;2551;2541;2535;2506;2490;2495;2553
Gornji Petrovci;2223;2209;2175;2168;2145;2122;2100;2069;2044;2045;1988;1992;2000;2007;2014
Grad;2287;2259;2253;2246;2204;2209;2196;2172;2141;2104;2093;2063;2055;2077;2027
Grosuplje;18437;18844;19136;19333;19626;19792;19930;20005;20181;20520;20855;21265;21406;21279;21464
Hajdina;3720;3738;3723;3735;3739;3736;3759;3750;3710;3737;3763;3850;3905;3902;3877
Hoče - Slivnica;10734;10794;10881;10900;11048;11225;11262;11186;11235;11280;11561;11848;11721;11755;11805
Hodoš/Hodos;325;320;312;320;382;362;372;369;372;366;359;358;355;361;364
Horjul;2826;2874;2882;2873;2893;2923;2952;2942;2976;2990;3018;3032;3014;2997;3004
Hrastnik;10155;10120;10031;9959;9833;9647;9499;9350;9314;9210;9191;9140;9139;8980;8961
Hrpelje - Kozina;4049;4161;4187;4256;4286;4276;4268;4354;4369;4389;4426;4534;4671;4874;5023
Idrija;11950;11904;11930;11968;11960;11984;11963;11937;11888;11798;11730;11797;11793;11723;11750
Ig;6321;6540;6725;6847;6974;6992;7099;7128;7209;7339;7441;7577;7595;7707;7669
Ilirska Bistrica;13943;13936;13923;13939;13846;13863;13777;13667;13523;13431;13313;13290;13337;13354;13352
Ivančna Gorica;14798;15138;15338;15624;15781;15905;16050;16185;16276;16456;16611;16880;17235;17587;17605
Izola/Isola;15739;16035;15867;15906;15951;15884;15813;15881;15920;16009;16099;16367;16589;16717;16489
Jesenice;21738;21780;21652;21566;21433;21309;21097;20945;20713;20714;20814;21168;21519;21653;21734
Jezersko;672;665;672;660;635;640;646;634;618;627;627;635;645;676;656
Juršinci;2369;2331;2326;2358;2411;2382;2385;2371;2361;2381;2364;2367;2397;2456;2492
Kamnik;28606;28859;28999;29027;29246;29273;29422;29394;29407;29458;29512;29847;29933;29953;29856
Kanal;5868;5823;5761;5710;5663;5611;5539;5484;5386;5347;5300;5304;5295;5228;5228
Kidričevo;6604;6670;6673;6662;6627;6619;6543;6474;6429;6428;6480;6497;6526;6554;6556
Kobarid;4227;4190;4217;4172;4202;4199;4144;4143;4107;4117;4097;4078;4045;4061;4034
Kobilje;615;610;610;629;605;584;587;585;570;561;550;545;540;538;529
Kočevje;16711;16685;16549;16499;16437;16303;16082;16075;15965;15822;15681;15688;15702;15620;15668
Komen;3477;3510;3544;3547;3555;3564;3519;3520;3545;3525;3523;3546;3549;3631;3618
Komenda;4959;5218;5389;5607;5725;5819;5904;5955;6033;6110;6239;6345;6422;6469;6542
Koper/Capodistria;50708;51915;52548;52811;53155;53637;54287;51053;51140;51641;51828;52540;52773;53440;53563
Kostanjevica na Krki;2410;2416;2421;2411;2416;2414;2427;2441;2414;2441;2431;2445;2443;2443;2447
Kostel;650;647;661;651;642;650;646;643;639;637;648;643;674;688;639
Kozje;3275;3244;3253;3239;3191;3168;3106;3080;3102;3062;3049;3053;3010;3039;3011
Kranj;53795;54562;54884;55271;55432;55552;55764;56108;56081;56047;55795;56715;57133;56784;56888
Kranjska Gora;5316;5303;5288;5316;5338;5308;5347;5318;5289;5225;5219;5206;5590;7970;7092
Križevci;3765;3761;3759;3778;3778;3748;3724;3658;3638;3618;3574;3545;3542;3536;3555
Krško;25565;25702;25838;25761;25986;26049;25833;25835;25948;25802;25844;26117;26078;25775;25908
Kungota;4707;4713;4727;4791;4792;4802;4793;4794;4756;4774;4737;4734;4796;4873;4914
Kuzma;1587;1572;1608;1599;1580;1589;1606;1594;1583;1562;1564;1574;1581;1661;1638
Laško;13753;13705;13606;13526;13457;13416;13287;13256;13175;13131;13028;13023;13085;13059;13052
Lenart;7800;7910;8093;8175;8157;8120;8246;8218;8270;8281;8343;8443;8532;8518;8583
Lendava/Lendva;11295;11159;11088;10979;10881;10669;10602;10558;10517;10437;10407;10464;10474;10404;10284
Litija;14443;14640;14830;14923;14949;15024;15002;15051;15215;15332;15342;15429;15593;15692;15735
Ljubljana;272770;278314;280080;279898;280278;282741;286307;287347;288179;288250;289832;294113;294054;293822;293845
Ljubno;2648;2654;2681;2669;2669;2640;2621;2603;2586;2566;2558;2547;2564;2561;2527
Ljutomer;11965;11855;11812;11769;11736;11607;11580;11512;11441;11358;11329;11265;11233;11214;11101
Log - Dragomer;3484;3551;3596;3628;3640;3665;3610;3630;3611;3656;3681;3654;3642;3647;3717
Logatec;12670;12956;13180;13291;13575;13689;13752;13762;13815;13919;14048;14232;14514;14694;14756
Loška dolina;3835;3930;3930;3908;3887;3882;3860;3867;3856;3813;3739;3797;3770;3711;3603
Loški Potok;1986;2019;1987;1969;1951;1933;1883;1874;1855;1850;1830;1810;1814;1796;1761
Lovrenc na Pohorju;3139;3123;3113;3121;3130;3120;3117;3104;3094;3026;2998;2974;2982;2967;2946
Luče;1591;1538;1552;1541;1519;1513;1482;1497;1490;1480;1481;1452;1444;1469;1462
Lukovica;5294;5414;5438;5454;5522;5574;5650;5702;5765;5777;5810;5882;5907;5949;6007
Majšperk;4071;4113;4114;4057;4019;3976;3935;3991;3996;4013;4028;4067;4042;4046;3985
Makole;2058;2080;2089;2076;2055;2008;2024;2026;2039;2020;2013;2025;2042;2024;2036
Maribor;111490;112642;111704;111170;110946;111115;111842;111735;110543;110461;110513;112095;112395;112838;112564
Markovci;3984;3974;3983;3979;4006;4047;3979;3997;4030;4030;4005;4000;4019;4026;4074
Medvode;14974;15274;15466;15650;15708;15850;15937;15979;16123;16346;16488;16651;16781;16785;16936
Mengeš;7223;7333;7377;7402;7407;7572;7555;7675;7716;7877;7976;8150;8402;8481;8435
Metlika;8424;8453;8424;8414;8386;8394;8395;8395;8354;8355;8345;8397;8458;8446;8484
Mežica;3738;3705;3669;3660;3640;3613;3619;3609;3573;3575;3548;3559;3596;3579;3561
Miklavž na Dravskem polju;6193;6264;6250;6279;6425;6421;6445;6484;6542;6589;6592;6828;6980;7013;7133
Miren - Kostanjevica;4799;4895;4823;4848;4804;4854;4847;4831;4820;4848;4885;4976;4976;5057;5070
Mirna;-;-;-;-;2573;2577;2556;2519;2526;2576;2588;2622;2689;2671;2691
Mirna Peč;2777;2773;2799;2815;2844;2860;2871;2897;2932;2956;2949;2987;3018;3064;3104
Mislinja;4718;4690;4688;4686;4669;4645;4630;4580;4590;4580;4557;4561;4567;4553;4558
Mokronog - Trebelno;2873;2901;2914;2956;2983;3025;3028;3024;3032;3015;3082;3080;3138;3146;3169
Moravče;4830;4866;4973;5093;5104;5151;5191;5250;5250;5332;5354;5435;5479;5489;5536
Moravske Toplice;6082;6029;5994;5970;5961;5894;5860;5894;5831;5830;5813;5853;5879;5981;5932
Mozirje;4053;4083;4078;4068;4103;4092;4120;4041;4062;4050;4112;4133;4216;4267;4429
Murska Sobota;19498;19436;19334;19313;19220;19114;18935;18935;18923;18858;18752;18742;18684;18547;18619
Muta;3566;3535;3525;3512;3486;3437;3426;3379;3373;3387;3377;3407;3415;3407;3398
Naklo;5126;5211;5232;5284;5305;5340;5303;5300;5310;5339;5351;5402;5417;5392;5458
Nazarje;2608;2582;2596;2601;2612;2602;2572;2554;2587;2598;2600;2608;2650;2641;2664
